iter	MultiClass
0	1.833322506
1	1.732914356
2	1.643740671
3	1.561929216
4	1.490590775
5	1.416846197
6	1.375616716
7	1.321701585
8	1.277277486
9	1.235127932
10	1.205258994
11	1.164740701
12	1.135812129
13	1.11021909
14	1.079075256
15	1.054478521
16	1.02191884
17	0.9980925243
18	0.9767165071
19	0.9486726446
20	0.924647843
21	0.8987054628
22	0.8743682806
23	0.8510771001
24	0.8328299388
25	0.817849952
26	0.8051837254
27	0.7882462832
28	0.7713661042
29	0.7567797321
30	0.7434739715
31	0.7249238206
32	0.7158472395
33	0.7054355508
34	0.6957443333
35	0.6818735443
36	0.6688400391
37	0.6568925898
38	0.6484068706
39	0.6394612103
40	0.627711884
41	0.618832759
42	0.6083564021
43	0.5966889827
44	0.5864796422
45	0.578180698
46	0.5707124945
47	0.5645841967
48	0.5557402935
49	0.5443872382
50	0.5368733271
51	0.5278494442
52	0.518094482
53	0.5141678189
54	0.5064684899
55	0.500615285
56	0.4950648059
57	0.4889119881
58	0.4805360809
59	0.47612552
60	0.4720650713
61	0.4677664442
62	0.4614514893
63	0.4574572852
64	0.4496930142
65	0.4415880584
66	0.437475624
67	0.4287342214
68	0.4235403301
69	0.4165170975
70	0.4122642519
71	0.4081805542
72	0.4034595036
73	0.4000690981
74	0.3945087677
75	0.3900723969
76	0.3864386866
77	0.3824376345
78	0.3779226758
79	0.3741764837
80	0.3702628306
81	0.3648187011
82	0.3615326522
83	0.3595435032
84	0.355159531
85	0.3508546654
86	0.344079476
87	0.3384837556
88	0.3332686256
89	0.3295276185
90	0.3269755612
91	0.3250856549
92	0.3211028405
93	0.317728691
94	0.3137208814
95	0.3063215987
96	0.3014483038
97	0.2966031414
98	0.2931739991
99	0.288590125
100	0.2849912504
101	0.2821154291
102	0.2784641296
103	0.2718989852
104	0.2691910644
105	0.2665971758
106	0.264395663
107	0.2616792535
108	0.2594731651
109	0.25657771
110	0.2516173075
111	0.2460912217
112	0.2438507413
113	0.2399715261
114	0.2364625159
