iter	Passed	Remaining
0	158	157888
1	164	81958
2	178	59200
3	184	45865
4	189	37718
5	195	32391
6	201	28532
7	206	25547
8	212	23411
9	218	21627
10	224	20202
11	230	19003
12	236	17958
13	238	16766
14	243	15990
15	249	15338
16	255	14747
17	261	14257
18	266	13780
19	272	13345
20	278	12965
21	283	12620
22	289	12293
23	296	12045
24	301	11756
25	307	11529
26	312	11278
27	318	11055
28	323	10833
29	329	10652
30	334	10470
31	340	10312
32	346	10144
33	352	10013
34	358	9881
35	363	9738
36	368	9600
37	374	9490
38	381	9389
39	386	9282
40	392	9183
41	398	9079
42	403	8989
43	413	8976
44	426	9041
45	431	8953
46	437	8871
47	443	8786
48	448	8698
49	454	8639
50	460	8576
51	466	8506
52	472	8441
53	477	8368
54	482	8296
55	488	8235
56	494	8174
57	499	8110
58	505	8058
59	510	7998
60	516	7952
61	522	7900
62	527	7849
63	533	7803
64	539	7762
65	545	7714
66	551	7683
67	557	7639
68	562	7595
69	569	7561
70	574	7521
71	580	7483
72	586	7449
73	591	7407
74	597	7374
75	603	7335
76	608	7294
77	613	7252
78	619	7217
79	624	7177
80	629	7146
81	635	7111
82	640	7076
83	645	7041
84	652	7021
85	663	7053
86	670	7032
87	676	7013
88	682	6988
89	688	6964
90	694	6935
91	700	6912
92	706	6886
93	711	6861
94	717	6837
95	722	6807
96	728	6777
97	734	6756
98	740	6735
99	746	6722
100	753	6703
101	759	6683
102	764	6662
103	770	6641
104	776	6614
105	782	6598
106	787	6573
107	793	6555
108	799	6537
109	805	6514
110	810	6490
111	817	6477
112	823	6460
113	829	6449
114	835	6433
115	842	6421
116	848	6402
117	854	6385
118	860	6370
119	866	6352
120	871	6334
121	877	6317
122	882	6295
123	888	6278
124	894	6263
125	900	6248
126	922	6341
127	928	6325
128	934	6309
129	940	6294
130	947	6283
131	953	6269
132	959	6257
133	965	6241
134	970	6219
135	976	6204
136	981	6185
137	987	6168
138	994	6162
139	1000	6145
140	1007	6138
141	1013	6124
142	1019	6110
143	1032	6139
144	1044	6157
145	1052	6156
146	1060	6156
147	1067	6143
148	1077	6151
149	1082	6135
150	1089	6125
151	1095	6110
152	1101	6095
153	1107	6082
154	1113	6070
155	1119	6058
156	1125	6045
157	1131	6030
158	1137	6014
